Unnamed: 0,id,text,anger,disgust,fear,joy,sadness,surprise,translated_text,emotion,length_of_class
0,amh_train_track_a_00001,እናንተ መቸም አትማሩም ምድረ አውሬ ሁላ።,1,1,0,0,0,0,شما هرگز یاد نمی‌گیرید، ای سرزمین وحشیان.,"['anger', 'disgust']",2
1,amh_train_track_a_00002,ምነው የዶክተር እስራኤል ጥላሁን ሞት በዝምታ አለፋችሁት ባለስልጣን ስለሆነ ነው ዝምታው ፍርሀቱ እስከመቼ ነው ንፁሀንን እያየን ዥምታ ብልፅግና ገዳይ አስገዳይ የአውሬ ስርአት አራማጅ ነው አዲስ አበቤ አሁኑኑ ካልተነሳህ ዘንዶው በየቤትህ በር ላይ ቆሟል ካልተነሳህ ኦርቶዶክስን እና እውነተኛ ሙስሊምን አጥፍቶ ሉሲፈርን ለማስመለክ ግብረሰዶምን ትውልዱን ለማስበላት ለማርከስ ለጨለማው ስርአት ለመዘረጋት ኦሮሙማ በሚል ሽፋን እየተሰራ ነው እንንቃ,1,1,0,0,0,0,چرا سکوت کردید در برابر مرگ دکتر اسرائیل تلاون؟ آیا به دلیل ترس از قدرت است؟ تا کی باید شاهد بی‌گناهان باشیم و سکوت کنیم؟ این حکومت وحشیانه، قاتل و ظالم، سازماندهنده‌ی نظام حیوانی است. آدیس آببا، اگر اکنون برنخیزی، زندو درِ خانه‌ات را خواهد کوبید. اگر برنخیزی، ارتدکس و مسلمانان واقعی را نابود خواهند کرد تا شیطان را بپرستند و برای گسترش نظام تاریکی، تحت پوشش اورومو، عمل می‌کنند.,"['anger', 'disgust']",2
2,amh_train_track_a_00003,እንዲሁም ይህ እጅግ እርሶን የሚወዶት እና እጅግም የሚሳሳልዎን የአዲስአበባ ህዝብ ስራ እንዳይፈታ ብለው በቀን አንዴ ብቻ እንዲመገብ ስላደረጉ,0,0,0,0,0,0,همچنین، به دلیل اینکه این کار مردم آدیس آبابا را بسیار دوست دارید و بسیار تحت تأثیر قرار می‌دهد، تصمیم گرفتند که فقط یک بار در روز غذا بخورند تا این کار حل نشود.,[],0
3,amh_train_track_a_00004,"Etv ዘረኛ ናቹሁ አሽቃባጭ ስንት አባቶቻችን መስዋት የሆኑበትን ባዲራ እያቃጠላቹሁ አሁን በዚህ አዲስ ባዲራ አገሯን ታባላላላቹሁ ለጊዜው ፈጩ ችግር የለም ግን ,?",1,1,0,0,0,0,Etv شما نژادپرستان و خائنین، چندین پدران ما را قربانی کردید و حالا با این پرچم جدید کشورمان را تحقیر می‌کنید. برای الان مشکلی نیست اما...؟,"['anger', 'disgust']",2
4,amh_train_track_a_00005,የዛሬው የጦጣ ንክሻ ይለያል ክክ አይ ፊሊፖስ አንተ ጅማታም እንድህ ቅጥል ስትል ደስ ይለኛል,0,1,0,1,0,0,امروز بازی جذاب خواهد بود، ای فیلیپس، وقتی اینگونه می‌رقصی، خوشحالم می‌کنی.,"['disgust', 'joy']",2
5,amh_train_track_a_00006,ኢሄ ፕራንክ ሚባል ነገር ቅጥ አጣ አሁንስ,1,1,0,0,0,0,"این جمله به زبان امهری است و ترجمه آن به فارسی اینگونه است: ""اکنون چیزی برای گفتن ندارم.""","['anger', 'disgust']",2
6,amh_train_track_a_00007,Nebiyu Mussse መቸም በዱሩን እንዳይመቱሽ ፈረተሽ ነው,0,1,0,0,0,0,نبیو موسه، همیشه مراقب باش که در تاریکی گم نشوی، قلعه تو همینجاست.,['disgust'],1
7,amh_train_track_a_00008,አንችን ብሎ ጥቃት ተከላካይ አብረሽ እንዳትጠፉ ምክንያቱም ግጭቱ ከሀማስ ጋ ቢቻ መስሎሽ !!!,1,1,0,0,0,0,"متنی که ارائه دادید به زبان امهری (زبان رسمی اتیوپی) است. برای ترجمه آن به فارسی، متن زیر را دریافت کنید:

""تا زمانی که از خودت محافظت می‌کنی و مراقب هستی که گم نشوی، زیرا درگیری با حماس ممکن است خطرناک باشد!!!""","['anger', 'disgust']",2
8,amh_train_track_a_00009,በጣም ከምንም በላይ ያማል ይሠቀጥጣል,0,0,0,0,1,0,بسیار بیشتر از هر چیز دیگری آزاردهنده است.,['sadness'],1
9,amh_train_track_a_00010,ሰላም ይሻለናል ይቅርብን ባህር በሩ በዚህ ደግሞ ነካክተህ ከኤርትራ ጋር ወደ ጦርነት ልትጋፍጠን።,0,1,1,0,0,0,سلام باشد که دریا نزدیک شود و ما را به جنگ با اریتره نکشاند.,"['disgust', 'fear']",2
