,Unnamed: 0,translated_text,fear,disgust,joy,sadness,surprise,anger,text
0,0,شما هرگز یاد نمی‌گیرید، ای سرزمین وحشیان.,0,1,0,0,0,1,እናንተ መቸም አትማሩም ምድረ አውሬ ሁላ።
1,1,چرا سکوت کردید در برابر مرگ دکتر اسرائیل تلاون؟ آیا به دلیل ترس از قدرت است؟ تا کی باید شاهد بی‌گناهان باشیم و سکوت کنیم؟ این حکومت وحشیانه، قاتل و ظالم، سازماندهنده‌ی نظام حیوانی است. آدیس آببا، اگر اکنون برنخیزی، زندو درِ خانه‌ات را خواهد کوبید. اگر برنخیزی، ارتدکس و مسلمانان واقعی را نابود خواهند کرد تا شیطان را بپرستند و برای گسترش نظام تاریکی، تحت پوشش اورومو، عمل می‌کنند.,0,1,0,0,0,1,ምነው የዶክተር እስራኤል ጥላሁን ሞት በዝምታ አለፋችሁት ባለስልጣን ስለሆነ ነው ዝምታው ፍርሀቱ እስከመቼ ነው ንፁሀንን እያየን ዥምታ ብልፅግና ገዳይ አስገዳይ የአውሬ ስርአት አራማጅ ነው አዲስ አበቤ አሁኑኑ ካልተነሳህ ዘንዶው በየቤትህ በር ላይ ቆሟል ካልተነሳህ ኦርቶዶክስን እና እውነተኛ ሙስሊምን አጥፍቶ ሉሲፈርን ለማስመለክ ግብረሰዶምን ትውልዱን ለማስበላት ለማርከስ ለጨለማው ስርአት ለመዘረጋት ኦሮሙማ በሚል ሽፋን እየተሰራ ነው እንንቃ
2,2,همچنین، به دلیل اینکه این کار مردم آدیس آبابا را بسیار دوست دارید و بسیار تحت تأثیر قرار می‌دهد، تصمیم گرفتند که فقط یک بار در روز غذا بخورند تا این کار حل نشود.,0,0,0,0,0,0,እንዲሁም ይህ እጅግ እርሶን የሚወዶት እና እጅግም የሚሳሳልዎን የአዲስአበባ ህዝብ ስራ እንዳይፈታ ብለው በቀን አንዴ ብቻ እንዲመገብ ስላደረጉ
3,3,Etv شما نژادپرستان و خائنین، چندین پدران ما را قربانی کردید و حالا با این پرچم جدید کشورمان را تحقیر می‌کنید. برای الان مشکلی نیست اما...؟,0,1,0,0,0,1,"Etv ዘረኛ ናቹሁ አሽቃባጭ ስንት አባቶቻችን መስዋት የሆኑበትን ባዲራ እያቃጠላቹሁ አሁን በዚህ አዲስ ባዲራ አገሯን ታባላላላቹሁ ለጊዜው ፈጩ ችግር የለም ግን ,?"
4,4,امروز بازی جذاب خواهد بود، ای فیلیپس، وقتی اینگونه می‌رقصی، خوشحالم می‌کنی.,0,1,1,0,0,0,የዛሬው የጦጣ ንክሻ ይለያል ክክ አይ ፊሊፖስ አንተ ጅማታም እንድህ ቅጥል ስትል ደስ ይለኛል
5,5,"این جمله به زبان امهری است و ترجمه آن به فارسی اینگونه است: ""اکنون چیزی برای گفتن ندارم.""",0,1,0,0,0,1,ኢሄ ፕራንክ ሚባል ነገር ቅጥ አጣ አሁንስ
6,6,نبیو موسه، همیشه مراقب باش که در تاریکی گم نشوی، قلعه تو همینجاست.,0,1,0,0,0,0,Nebiyu Mussse መቸም በዱሩን እንዳይመቱሽ ፈረተሽ ነው
7,7,"متنی که ارائه دادید به زبان امهری (زبان رسمی اتیوپی) است. برای ترجمه آن به فارسی، متن زیر را دریافت کنید:

""تا زمانی که از خودت محافظت می‌کنی و مراقب هستی که گم نشوی، زیرا درگیری با حماس ممکن است خطرناک باشد!!!""",0,1,0,0,0,1,አንችን ብሎ ጥቃት ተከላካይ አብረሽ እንዳትጠፉ ምክንያቱም ግጭቱ ከሀማስ ጋ ቢቻ መስሎሽ !!!
8,8,بسیار بیشتر از هر چیز دیگری آزاردهنده است.,0,0,0,1,0,0,በጣም ከምንም በላይ ያማል ይሠቀጥጣል
9,9,سلام باشد که دریا نزدیک شود و ما را به جنگ با اریتره نکشاند.,1,1,0,0,0,0,ሰላም ይሻለናል ይቅርብን ባህር በሩ በዚህ ደግሞ ነካክተህ ከኤርትራ ጋር ወደ ጦርነት ልትጋፍጠን።
10,10,دقیقاً فدرالیسم، همراه با نامش یعنی خودمختاری، دروازه‌ای است که از آن عبور می‌کنیم. اگر خودمختاری در هر منطقه وجود نداشته باشد، برای من قابل قبول نیست. آنها اینگونه صحبت می‌کنند و به نظر می‌رسد که بحث بر سر تقسیم قدرت است. قانون اساسی باید اصلاح شود، اما وقتی در پارلمان مطرح می‌شود، گفته می‌شود که اصلاح نخواهد شد. این برای من قابل قبول نیست. رهایم کنید! به همین دلیل است که اگر هر یک از اعضای پارلمان را بررسی کنید، متوجه خواهید شد که آنها فقط نامی هستند و نه بیشتر. بنابراین، چنین عضوی از پارلمان...,0,1,0,0,0,1,ድንቄም ፌደራሊዝም ከነ ስሙ ብልፅግና ገዢው ፖርቱ ነው እኮ የሚባለው ጠቅላዩ በየክልሉ ብልፅግና ካልሆነ ኣይመቸኝም እያሉ ኣደለም እንዴ ያሉት የቱጋ ነው የሀይል ክፍፍል ያለው ህገ መንግስቱ ይሻሻል ሲባሉ በፓርላሜንት ለናንተ ሲባል ኣይሻሻልም ነው ያሉት ይህ ማለት ለኔ ተስማምቶኛል ተውኝ ነው ለዚህ ነው ለየኣንዳንዱ ፓርላማ ኣባል እያንዳድሽ ብትመረመሪ ጉድ ስላለባችሁ እምለውን ብቻ ስሙ ባይ ናቸው እንግዲህ እንደዚህ ኣይነት የፓርላማ ኣባል ወ
11,11,آیا چیزی لذت‌بخش‌تر از اتحاد وجود دارد؟,0,0,1,0,0,0,እንደ ህብረት ደስ የሚል ነገር የለም ?
12,12,اتیوپیا به خاطر سخنان غیرمنتظره و هشداردهنده نخست‌وزیر، در خطر سقوط توسط مردم قرار دارد.,0,0,0,0,0,0,Ethiopia በህዝብ ተጠልተን ልንወድቅ ነው የጠቅላዩ ያልተጠበቀ ንግግርና ማስጠንቀቂያ! via
13,13,به دنبال قطع کمک‌های ارائه شده به تیگرای، گزارش شده است که ۱۴۰۰ نفر بر اثر گرسنگی جان خود را از دست داده‌اند.,0,0,0,1,0,0,ለትግራይ የሚቀርበው እርዳታ መቋረጡን ተከትሎ 1 ሺህ 400 ሰዎች በረሃብ መሞታቸው ተነገረ
14,14,اسمش نه تنها، بلکه ترک کردن آواز خواندن نیز خوب است.,0,0,0,0,0,0,ስሙ ብቻ ሳይሆን መዝፈን ቢተው ጥሩ ነው
15,15,واینه، چه نوع خشونتی است که چنین داستان غم‌انگیزی از زندگی می‌شنوم و نمی‌توانم تحمل کنم. خواهرم، خداوند عمر و سلامتی به تو بدهد. گذشته تلخت به شادی تبدیل شود. نگران نباش. آن فرد شرور نیز در دادگاه عدل الهی مجازات خود را خواهد دید.,0,0,0,1,0,0,ወይኔ ምን ኣይነት ጭካኔ ነው እንደዚ ኣይነት ኣሳዛኝ ታሪክ ህይወት ሰምቼ ኣላቅም እህቴ እግዚአብሔር እድሜና ጤና ይስጥህ ያለፈ ኩፉ ሂወትሽ በደስታ ይቀየር .ኣይዞህ .ያን ጨካን ደግሞ በግዛቢሄር ፍርዱን ያገኛል
16,16,این نوع رفتار زشت بارها در اتیوپی دیده می‌شود که نشان‌دهنده عدم وجود دولت و حاکمیت قانون است. این حتی حیوانات هم انجام نمی‌دهند، بسیار ناراحت کننده است. شما اتیوپیایی‌ها، به ویژه آنهایی که در شبکه‌های اجتماعی برای شهرت و منفعت خود جار می‌زنید، هرگز درباره چنین مسائلی صحبت نمی‌کنید. شما که ادعای دینداری دارید، اینگونه رفتار می‌کنید.,0,1,0,1,0,1,ይህ ዓይነት ኣስጸያፊ ተግባር በኢትዮጵያ በተደጋጋጋሚ ይታያል ይህ የሚያሳይህ ደግሞ መንግስትን አለመኖሩ ነው ህግ አልባነት ነግሰዋል ይህ አውሬም አያደርገውም በጣም ያሳዝናል እናንተ ኢትዮጵያኖች በተለይ በየቲክቶኩ ለእውቅና ለጥቅም ብላቹ ስትንጫጩ የምትውሉት ስለዚህ ዓይነት ጉዳይ አንዲትም ቀን ስትናገር አልሰማንም እናንተ ሃይማኖታዊያን ነን የምትሉ እንደዛ
17,17,به خاطر اشتباهی که قبلاً مرتکب شدی، اکنون داریم تاوانش را می‌پردازی.,0,0,0,0,0,0,በፊት በሰራኸው ጥፋት አሁን ላይ ዋጋ ሲያስከፍልህ
18,18,قانون به این دلیل پابرجاست که اریتره‌ای‌ها هستند. آیا اتیوپیایی‌ها جرائم دردناک‌تر و وحشتناک‌تری مرتکب نمی‌شوند؟ آیا خشونت از تجاوز فراتر نرفته و با قتل همراه نشده است؟ آیا این اعمال در حال تشدید نیستند؟ چرا عدالت برای اتیوپیایی‌ها و اریتره‌ای‌ها متفاوت است؟ خدایا، مسیحا، ظلم و ستم فراوان شده است. بیایید همه به آن فکر کنیم. حتی اگر بمیریم، سنمان تغییر کند و مجرمان دوران توبه و پشیمانی را تجربه کنند، نفس‌کشیدن دوباره ممکن خواهد بود.,0,1,0,0,0,1,ህጉ የሚፀናው ኤርትራውያን ስለሆኑ ብቻ ነው ኢትዮጵያውያኖች ከዚህ የበለጠ አሰቃቂና ዘግናኝ ወንጀሎች እየፈፁሙ አይደል እንዴ  ከዝርፊያ ባሻገር ዝርፊያው ከግድያ ጋር አደል እንዴ ድርጊቱ እየተባባሰ አይደል  የኢትዮጵያና ኤርትራውያኖች ፍርድ የተለያየ የሆነበት ምክንያት ምንድነው ኧረ እግዚኦ መሀረነ ክርስቶስ ግፍና በደል በዛ እስቲ ሁሉም አስቦበት ሞቱ ቀርቶ በእድሜ ልክ ተቀይሮ ወንጀለኞቹ የመፀፀቻና ንስሀ መግቢያ ዘመን አግኝተው የመተንፈሻ
19,19,متأسفانه، متن ارائه‌شده به زبان اتیوپیایی (آمهریک) است و من قادر به ترجمه آن به فارسی نیستم. اگر می‌توانید متن را به انگلیسی یا زبانی دیگر ارائه دهید، خوشحال خواهم شد که در ترجمه آن کمک کنم.,0,1,0,0,0,1,አለፍልህ የተረገመክ ሳኡዲ የታሰሩትን ዜጋ አስገባ እንባቸው ጎርፍ ሁኖ ይወስድህ ስም ፈላጊ
20,20,به نظر می‌رسد که دارم گریه می‌کنم. چه رنجی را پشت سر گذاشته‌ایم تا به اینجا رسیده‌ایم.,0,0,0,1,0,0,እየቀለድኩኝ መስሎሻላ። ስንቱን መከራ አሳልፈን ነው እዚህ የደረስነው።
